feature_1,feature_2,feature_3,feature_4,label
2.01435450,-0.76280111,-1.28230243,0.39491971,1
-0.61879005,0.58567215,1.07898893,-1.64560398,2
-2.28059569,-1.35393100,0.94213133,2.01305851,0
1.36855482,-0.73573288,-1.20856299,0.73426831,1
-0.50912898,1.35170528,1.33282719,-2.55342265,2
-1.99202392,-1.01506205,0.97461196,1.28792149,0
1.65487503,-1.72571090,-2.14708184,0.21515479,1
-0.03253718,1.86440037,0.57946797,-0.95125934,2
-2.32314327,-1.16467370,0.66296967,1.70213093,0
1.81763937,-0.99915986,-0.63445906,1.02600035,1
-0.10103537,1.72301929,1.47188672,-1.37236408,2
-2.50811266,-1.48657514,1.11538615,0.92440822,0
1.59139434,-2.29457733,-0.93735579,0.67010629,1
0.30528563,1.70807056,1.54355208,-1.34260847,2
-2.47534254,-1.48244553,1.06303462,1.36013052,0
1.75219728,-1.33083689,-0.90093021,0.59205688,1
-0.17481234,1.61305860,1.32038081,-2.39961062,2
-2.17641131,-1.72178804,-0.00614548,1.67299461,0
2.07111851,-1.45329792,-1.11840726,-0.24139310,1
-0.58640398,1.67514415,1.40105354,-1.82873302,2
-2.07015019,-1.26531248,0.91644772,1.49740485,0
1.03153853,-2.04640612,-0.88936514,0.54803741,1
-0.33207526,1.89415739,1.44341194,-1.82940161,2
-1.97101912,-0.97637588,-0.10513314,1.64109032,0
2.11279722,-0.88559572,-1.08055123,1.43345992,1
-0.17357623,1.87339315,1.42640054,-1.63016441,2
-2.06442300,-1.20237460,0.44268422,1.90717946,0
0.70970398,-1.14234525,-1.10732335,0.65549927,1
0.69612736,1.77505896,1.05486036,-1.80754750,2
-1.89017553,-1.14394381,0.15308397,0.74843833,0
2.21516806,-1.83824953,-0.98189410,1.14248803,1
0.26792453,2.07849822,0.99235225,-1.91683751,2
-1.87702121,-1.01511727,0.51486756,0.99686062,0
2.26950920,-0.82658576,-1.00662163,0.61447995,1
0.05731837,1.77864206,1.60030729,-1.25488482,2
-2.06746489,-0.31254372,0.97856223,1.66010081,0
1.33908568,-1.02219102,-1.34057092,0.69889597,1
0.21636627,1.74760046,1.68425261,-0.66370526,2
-1.65463367,-0.91975629,0.43766746,1.81196464,0
1.77042832,-2.09655442,-1.43271912,0.50038590,1
-0.09852323,1.47596580,1.59909150,-1.44404370,2
-1.46300544,-0.66772455,0.99108113,0.64994818,0
2.43260577,-1.44665347,-1.14001373,0.99869747,1
-0.40825681,2.98775474,1.83934970,-0.79800904,2
-1.58330106,-0.77437358,0.65118264,1.84703597,0
1.74743412,-1.70770517,-1.20169882,0.75165488,1
0.30797631,1.91724134,1.29319820,-1.05545870,2
-1.57750935,-0.96037797,0.67895032,1.77535316,0
2.11930244,-2.03633019,-0.72918204,2.00812094,1
-0.94434507,1.19868461,1.04099433,-1.33193390,2
-1.58344547,-1.86445721,0.86135456,1.64594394,0
2.56586286,-1.37614686,-0.64053814,0.58067777,1
0.69618756,1.39325515,1.12772762,-1.17752864,2
-1.92417784,-1.52721111,0.21453919,0.62966011,0
1.73453667,-1.60788578,-0.81664509,0.66557879,1
0.47145556,1.91831302,0.69535847,-2.09566323,2
-2.28333956,-0.62428849,1.19153420,1.55718363,0
1.34037596,-1.69109444,-1.28068419,0.88138960,1
0.40888443,2.31121977,1.78963526,-1.68386833,2
-2.53362053,-2.08496131,0.96967496,1.38505370,0
2.24050010,-0.98681474,-1.22012024,0.80053393,1
-0.05277243,1.83562224,1.36944755,-1.05034392,2
-1.12144753,-0.81466747,0.20231595,1.73277261,0
1.16126755,-1.11010598,-0.70910885,1.42174015,1
0.46178762,1.43577948,1.17210320,-1.73162864,2
-1.78053758,-1.29279354,1.15878455,1.75181189,0
1.69170126,-1.62512062,-1.34053217,0.71845193,1
0.19841997,1.64776686,1.70668378,-1.41406847,2
-1.43992076,-1.37350667,0.91761735,1.98834698,0
1.61447468,-1.63540327,-1.16947705,1.57037923,1
0.00295651,1.38848403,1.11473277,-0.99486787,2
-1.79007371,-1.47889820,0.69827663,1.86683998,0
1.84964498,-1.52712958,-2.31016780,0.22356463,1
0.67022300,1.69563316,0.60106012,-1.18544985,2
-1.48968210,-1.21175099,0.38227475,2.20137842,0
1.05094850,-1.01491545,-0.69057605,-0.15205150,1
0.51198633,1.35528655,1.29843838,-1.35609291,2
-0.89719086,-1.43446170,0.58164752,1.50466942,0
1.93997073,-1.45443014,-1.27491901,0.82679238,1
-0.63558957,1.75731823,1.19251188,-0.59955012,2
-1.03248630,-1.77681330,0.70582722,1.73710856,0
1.44160501,-1.43786014,-0.68594381,1.48353278,1
-0.38975532,1.79083463,1.25933839,-1.47591004,2
-2.00511811,-1.30983882,1.51943822,1.71056780,0
1.58124724,-1.18432673,-1.34499393,0.18785227,1
-0.35170419,1.63799872,1.62836289,-1.41847012,2
-1.51162097,-1.25659777,0.79662108,1.27227861,0
0.91295673,-1.56420100,-1.59958107,0.09586796,1
-0.07048908,1.34247994,1.17797121,-2.00844388,2
-1.15317377,-1.16690575,0.45362114,1.38370190,0
1.67999419,-1.96170180,-1.51925455,0.48787758,1
-0.18246142,1.81635428,1.54591439,-1.83089976,2
-2.07327024,-0.78312691,0.65374578,1.27869066,0
1.59142965,-1.73695564,-1.19963398,1.39977866,1
-0.27345346,1.59276998,-0.07256278,-1.43125478,2
-1.47029754,-1.18205655,0.76399852,1.57653250,0
1.56460711,-2.12246648,-1.90247088,0.45747468,1
-0.38073663,2.27386147,1.18864354,-0.77327632,2
-1.93241977,-0.86658273,0.68321204,1.38198711,0
1.97895661,-1.64101868,-1.41249111,0.43426983,1
-0.59202908,1.79238762,1.20419185,-2.03142544,2
-2.25748998,-0.97440883,0.46240764,1.73053128,0
1.78291579,-1.54430251,-1.04160723,0.96112713,1
0.42396902,1.78038237,1.36173700,-1.95526324,2
-1.60766867,-0.83525892,0.97714918,1.56177727,0
1.99479717,-1.59772637,-1.28527300,0.77363649,1
0.10298257,1.64872232,1.92024812,-1.40400439,2
-2.07371776,-1.51315464,1.29081854,1.64350208,0
1.60587486,-1.45377905,-1.00993381,1.14590525,1
-0.07716069,1.94046042,1.79453576,-1.20590791,2
-1.58633755,-0.54420268,1.10189853,2.25225820,0
1.36668063,-1.28126564,-0.78997959,1.18601721,1
-0.23632144,1.93327088,1.50431282,-1.06340512,2
-1.62056439,-0.68064429,0.82727721,1.90744073,0
2.25970670,-1.24821529,-1.12151868,0.25861512,1
-0.19414115,1.90863579,1.09430114,-1.83338449,2
-0.90655204,-0.31816623,0.47910571,1.31525805,0
1.79085527,-1.50456675,-1.19874370,1.26241560,1
0.55926585,1.48927153,0.98158974,-1.74128067,2
-1.83389429,-0.46201611,0.46164239,1.85407277,0
1.54865595,-0.82039378,-0.53618074,1.48685654,1
0.28058550,1.26318200,1.89878932,-0.82109797,2
-2.31988515,-0.30162623,1.32027681,1.06789728,0
1.79871802,-1.78264259,-1.34695947,1.17977300,1
-0.44850540,1.89496283,0.90312574,-1.67800913,2
-2.55683868,-1.04563387,0.39689212,1.24396176,0
1.68542414,-1.64477374,-1.01666035,-0.13585007,1
-0.31226874,2.23965556,1.10362166,-1.44312906,2
-2.28632066,-0.74713060,1.09065697,1.95550992,0
1.69656121,-1.50318253,-0.94428984,0.46168077,1
-0.12522753,1.88305975,1.03932561,-0.98595105,2
-1.93266930,-2.02098821,0.01962796,1.47541056,0
1.91396345,-1.58888670,-1.45501778,0.41302902,1
-0.12891399,1.92484595,1.72688550,-1.59850083,2
-1.40042099,-1.24783590,-0.30959106,1.56730994,0
1.60706902,-1.83192211,-0.79205554,1.13553980,1
0.44366725,1.19416636,1.77762806,-1.27596738,2
-2.08550625,-0.31695430,0.23667920,1.48033046,0
1.46085150,-2.58950379,-0.88078822,0.75574708,1
0.49091517,1.25653735,1.65912751,-2.08775031,2
-2.15714942,-1.07653782,0.18734552,1.69933668,0
1.46817398,-2.19889953,-1.44410839,0.86292105,1
-0.12980671,1.96954227,1.60209179,-1.44423418,2
-1.77072476,-0.52283496,0.46203441,1.88663835,0
2.05458265,-1.62864953,-0.91846411,0.70113098,1
0.32245523,0.99616017,1.08784474,-1.44572371,2
-1.59929478,-1.04152671,0.99205554,1.83859056,0
0.66206818,-1.33502142,-1.43241990,0.70746846,1
-0.16099831,1.78080599,1.12378172,-1.17899044,2
-1.90301546,-0.67522662,0.71491929,1.63283062,0
1.99729425,-1.03800761,-1.38906537,0.79156106,1
-0.58796915,2.14464128,1.84773110,-1.91019175,2
-1.67068202,-1.06535752,1.25869119,1.35683401,0
1.17861338,-1.35444404,-1.23772100,1.25745523,1
-0.63973606,0.88736959,0.71528792,-1.39527355,2
-1.95234508,-0.51099555,0.53644660,2.10765294,0
1.83632425,-2.04860582,-1.10601628,0.37042616,1
0.38085263,2.28086883,1.30501184,-1.19357055,2
-1.62365776,-1.11171811,0.67113772,1.47456147,0
1.53351807,-2.05379608,-1.21016840,-0.04301296,1
0.04129093,1.56481889,1.40570396,-1.73150891,2
-1.95736856,-0.26774748,0.77377604,1.77303752,0
1.79667986,-1.66441298,-1.39162129,0.70575595,1
0.64014424,1.89984265,1.15231960,-1.23580551,2
-2.23800020,-1.51326164,0.24886459,1.47298823,0
2.09962320,-0.84171956,-0.79861235,1.17644794,1
-0.27479568,1.62612425,1.45679307,-1.66594509,2
-2.06587421,-1.21792539,0.61910404,1.43571028,0
1.47815338,-1.28094599,-0.55078065,1.26038205,1
0.39356267,1.49762962,0.61631070,-1.62556012,2
-1.37512627,-1.86776857,0.18937124,1.18625480,0
2.06276737,-0.53419833,-0.86245330,0.93667075,1
0.29011791,2.25346296,1.39592015,-1.36435649,2
-1.93592980,-0.96066405,0.55139699,1.45911808,0
1.83963442,-1.45553816,-2.41599383,0.48788611,1
1.04352074,1.47433726,1.57391198,-1.89796400,2
-1.90300755,-1.63885344,0.78424233,1.52146841,0
0.98296157,-0.86752331,-1.22049704,0.60552175,1
-0.56772414,2.14292492,1.25942066,-1.39828321,2
-2.61599946,-1.47028396,0.21098751,1.27038653,0
2.05390138,-1.40706849,-1.65024827,0.65743318,1
0.25425268,2.43520894,1.71002495,-0.76258869,2
-2.03972910,-0.91798384,0.72288607,1.54636647,0
1.79043539,-1.14433334,-0.71430086,1.98833957,1
0.01334107,2.14487638,1.85839417,-1.14409137,2
-1.58950915,-1.27146364,0.13227700,1.95178497,0
1.43229370,-1.73224896,-1.76707678,1.02732140,1
0.37510984,1.76533565,1.76464481,-1.66784421,2
-1.39165663,-1.75463205,0.41450826,0.65978285,0
1.40203191,-1.74275662,-0.90042202,1.13961734,1
0.18239640,1.30824238,1.89232715,-1.37579374,2
-1.55092623,0.22028855,0.02803703,1.59852751,0
1.82456196,-1.99353355,-1.71086550,1.37312236,1
-0.40823386,0.94727274,0.88703457,-1.52073603,2
-1.80082172,-1.16648009,0.30381280,1.30163641,0
2.14985069,-1.25188261,-0.82009028,0.95012717,1
0.83881152,1.21040501,0.95938881,-0.81553429,2
-2.50776830,-1.00269838,0.43661581,1.84133492,0
0.79071135,-2.02255890,-0.80054253,0.78694795,1
-0.12010058,1.68792170,1.43487399,-0.64024525,2
-1.98464014,-1.10345387,1.02947843,1.48210602,0
1.56628191,-0.73891241,-0.73109238,1.12409504,1
0.05575967,1.60626826,1.90294085,-1.37801473,2
-1.50658692,-1.08390666,1.45892601,2.31029482,0
1.53299774,-1.28986436,-1.47168186,0.72562858,1
0.71660827,2.24476780,1.14256447,-1.55416671,2
-1.75163192,-1.72972376,0.33881480,0.57076700,0
1.27274335,-1.53222462,-1.16705351,0.46467375,1
-0.27975925,2.03771524,0.88168170,-1.09563888,2
-2.10788276,-1.10564086,0.95852918,1.78424601,0
1.17983891,-1.49451539,-0.61565522,0.25695498,1
-0.20538310,0.52867068,0.86323545,-1.77462579,2
-2.25661704,-1.11261805,0.58480627,1.02307513,0
1.28488856,-1.35131806,-1.06257184,0.71933495,1
-0.24946685,2.05699928,1.60741939,-2.18951481,2
-1.47206118,-1.07664501,0.43320512,1.39784195,0
1.31635469,-0.78909578,-0.91400230,0.29385628,1
0.00701055,1.45012707,1.77781311,-1.86808802,2
-1.73752493,-1.20090109,-0.15799384,1.22178664,0
1.74839370,-1.53896923,-2.00270018,1.11613149,1
0.20522005,1.84560303,0.90231769,-1.96984186,2
-1.35946630,-0.67485048,0.32950995,0.93711817,0
1.48520476,-1.84101295,-0.86209870,1.06213544,1
0.62174098,1.91970623,1.01282884,-1.54599964,2
-2.13820516,-1.07066420,0.95937380,1.64205736,0
1.54605111,-0.82098249,-1.31713145,0.07743161,1
-0.02075699,0.92200733,1.31319319,-0.58274642,2
-1.66510202,-0.94353391,0.79708305,1.36654897,0
1.74842592,-1.50351366,-1.20030855,1.16733761,1
0.39627016,1.76479008,1.43194400,-1.07233583,2
-2.45428597,-0.76813465,0.71041428,0.70759017,0
1.07417746,-1.95537156,-1.60909859,0.73261472,1
0.04297450,1.06856945,1.65801549,-1.36445555,2
-1.51954375,-1.16449386,1.09723964,2.06448929,0
2.35978963,-0.76040457,-1.14438320,0.75907587,1
0.22793961,1.92356228,0.95007117,-0.92170073,2
-1.61592572,-1.36646698,0.80580322,1.40297642,0
2.59531627,-2.01907588,-1.15504284,2.08029919,1
0.34393745,1.77007235,1.23060806,-1.16693149,2
-1.71035682,-1.91317659,0.66439548,1.43980031,0
1.15747025,-1.61055841,-0.94186055,0.54682852,1
-0.34686043,0.70946600,1.36379568,-1.07718045,2
-1.21736215,-1.46261389,0.35865046,1.73763362,0
1.77267288,-0.88079814,-1.42092386,0.86925573,1
0.10950954,1.18436797,1.78614065,-1.00135485,2
-1.70039334,-1.93065357,0.36880787,1.80055261,0
0.95510093,-1.33923097,-1.07435017,0.88820792,1
0.15065146,1.50040725,0.98541569,-2.63561671,2
-2.28984054,-1.09599751,0.00977122,2.11057752,0
1.45047403,-0.91151840,-1.62052357,0.79039285,1
0.08339088,2.17423440,1.44275644,-1.84643007,2
-1.13014055,-0.55271161,1.24357318,1.33791780,0
1.19180638,-1.03420795,-0.65722213,0.90848272,1
0.21148608,2.12352777,1.84801593,-1.05479852,2
-1.00780482,-1.65984793,0.90770024,0.52176782,0
1.54209312,-0.67188948,-1.00616768,1.05775744,1
0.07702457,1.49945480,1.55147544,-1.08645349,2
-2.40239303,-2.13380904,0.87077252,1.52352371,0
1.95404005,-1.50960804,-0.98841942,0.60868576,1
0.52074925,1.83999632,1.17662332,-2.06464255,2
-1.20124195,-0.72898036,0.84711559,1.72089953,0
2.05871163,-1.26303819,-0.58274890,1.02994663,1
0.16020100,1.91145177,0.70064474,-1.46092860,2
-2.04080285,-0.86531444,0.97794369,2.02291917,0
1.52840650,-1.32910118,-0.82170858,0.66005907,1
-0.02948123,1.58614854,1.87905404,-1.30648189,2
-1.61247952,-1.75757425,0.25305888,1.66219649,0
1.72591494,-1.11414997,-0.64632676,0.63380264,1
-0.00375371,1.91428012,1.37703591,-1.24115104,2
-1.48544836,-1.06360686,0.65010020,1.04897754,0
1.46471142,-1.88325413,-0.91324876,1.11260596,1
0.54663311,1.76707675,1.49103894,-1.58287465,2
-1.76529660,-1.02847705,0.79076342,0.81634158,0
1.08347524,-0.95588028,-0.66816102,1.28369352,1
0.48367347,1.46984240,1.16936050,-0.36909017,2
-2.15040794,-1.75129771,0.91465825,1.18914039,0
2.22585933,-2.15259825,-0.49315089,1.11028032,1
0.13881570,1.54518151,1.84924333,-1.24764055,2
-1.36389280,-0.99456730,0.66207793,1.87639864,0
1.72058625,-1.93479185,-1.28626400,0.42921932,1
0.37766864,1.55429830,1.51729818,-0.69451524,2
-1.00699748,-1.00403308,0.17060857,1.25139021,0
2.42671840,-1.97274335,-1.20673469,0.59293652,1
-0.37118729,2.00469677,1.44289219,-0.92045068,2
-2.27447638,-1.21773107,-0.08633325,1.79476759,0
1.49794896,-1.43584382,-1.16697865,0.14815260,1
0.42281530,1.86314496,1.26621917,-0.77321736,2
-1.82533901,-0.17404528,1.10133370,1.67942301,0
1.47035891,-1.66682353,-1.00576860,0.88699780,1
0.36517078,1.32055807,0.93471204,-1.46216977,2
-1.66782616,-0.95483771,0.14898554,2.12379231,0
1.81237903,-1.63337079,-0.10988059,0.48737940,1
0.15738354,1.30887951,0.98111753,-1.99628042,2
-1.89990589,-1.77439757,-0.15127765,1.32762585,0
1.60582502,-1.48214273,-1.79934486,0.72060079,1
0.85072106,0.97000880,1.27944866,-1.12390519,2
-1.56895455,-1.02779009,1.05413555,2.55219870,0
1.45714641,-1.65652173,-0.80699677,0.43529389,1
0.32856938,1.58760960,0.82643599,-2.02743519,2
-2.05363224,-1.21496892,0.61195097,1.85174014,0
0.74260914,-1.32318810,-1.75726105,0.18796640,1
0.29582646,1.66525017,1.01606088,-0.96689826,2
-1.59982297,-0.73667608,1.21506580,1.34523363,0
1.52710140,-1.42732819,-0.50351946,1.69091406,1
-0.02761603,1.52719018,0.83420995,-1.66344414,2
-1.51483691,-1.16604472,0.22055892,1.17015806,0
1.13720979,-1.63240642,-0.98694144,0.99568036,1
0.10213170,2.40456197,1.35005300,-0.85424837,2
-2.23631009,-1.67044717,0.97063818,1.12499729,0
2.38872701,-0.90857462,-1.35720104,1.30522684,1
-0.95990652,1.65574395,0.85461777,-0.49203408,2
-1.18659242,-1.07352498,0.40135930,1.67240416,0
2.01671478,-1.34053789,-0.91275734,0.94803725,1
-0.28778444,1.52508976,1.49068441,-1.24211435,2
-2.42787696,-1.66291675,1.43046006,1.30882351,0
1.43523925,-1.34151941,-1.43167247,0.70565868,1
0.18187370,2.16578985,2.06964448,-1.40469909,2
-1.51907080,-0.90168919,0.30150839,1.69163385,0
0.62125445,-1.75775967,-1.69916038,1.02697289,1
0.22130560,1.52621050,1.15839417,-0.91899512,2
-1.50643710,-1.11299757,0.18874087,1.95094060,0
2.64620096,-1.27963997,-1.29328553,0.69208899,1
0.16785336,2.19782640,1.38639249,-2.00945799,2
-1.11636416,-0.88553460,0.84603841,0.88257451,0
2.30243331,-1.47675213,-0.80728469,0.27769211,1
0.20486599,1.47447578,1.57014854,-2.06368678,2
-1.70361479,-1.27107660,0.54762683,1.26901872,0
1.36833649,-0.96414760,-0.93807890,0.65816003,1
0.43932088,1.55915174,1.42785064,-0.31806913,2
-2.15635034,-1.46436786,0.95465215,1.41130560,0
2.61908423,-1.18537270,-1.52811707,1.51434980,1
-0.76886413,1.84790208,1.06263915,-1.47567564,2
-1.06555021,-0.91960004,0.95228373,0.72051685,0
1.79116409,-1.82601176,-1.16697793,0.50079571,1
0.19713140,1.61552825,1.59374837,-2.03322562,2
-2.23965437,-1.09912850,0.45487267,1.28845870,0
1.70225042,-0.77147347,-2.00678481,1.23725735,1
0.15954735,2.10314251,1.08056992,-1.96937988,2
-1.96859420,-1.27385166,0.34530930,1.81544962,0
2.53170881,-2.25066202,-1.85632767,0.75472972,1
0.86869053,1.94680597,1.98508229,-1.35996817,2
-1.93711800,-1.89937012,1.32906162,1.16308496,0
1.28628983,-1.54177180,-1.29278623,1.27289852,1
0.72187405,1.80925901,1.08006045,-1.67091487,2
-1.55972052,-0.38690926,1.51351805,2.11275885,0
2.29450816,-1.46978078,-1.10230191,1.04617178,1
-0.08241127,1.92253560,1.45775472,-2.25770102,2
